StationID,Station
8014570,Böhringen-Rickelshausen$<1>$BOEH$<3>
8014571,Radolfzell$<1>$RAD$<3>
8014580,Markelfingen$<1>$MAKF$<3>
8014581,Allensbach$<1>$ASB$<3>
8014582,Hegne$<1>$HEG$<3>
8014583,Reichenau (Baden)$<1>$RNAU$<3>
8014584,Konstanz-Petershausen$<1>$PHAU$<3>
8014586,Konstanz$<1>$KO$<4>$KODB$<3>
8014587,Konstanz Hafen$<1>
8014592,Dingelsdorf$<1>
8014601,Überlingen Therme$<1>$UEB$<3>
8014608,Unteruhldingen$<1>
8014611,Meersburg (Bodensee)$<1>
8014613,Hagnau (Bodensee)$<1>
8014614,Immenstaad (Bodensee)$<1>
8014649,Friedrichshafen Hafen$<1>$FRIH$<3>
8014650,Langenargen Hafen$<1>
8014651,Kressbronn Hafen$<1>
8014652,Nonnenhorn Hafen$<1>
8014653,Wasserburg (Bodensee) Hafen$<1>
8014654,Bad Schachen$<1>
8014655,Lindau Hafen$<1>
8020347,München Hbf$<1>$MUC$<4>$Monaco (D)$<4>$Munich$<4>$MUEN$<3>
8020348,München Hbf Gl. 27-36$<1>
8020429,München$<1>
8020550,München Hackerbrücke$<1>
8020581,München Hbf (Tief)$<1>
8029163,Friedrichshafen-Hafen$<1>
8029168,Langenargen$<1>$LANA$<3>
8029170,Kressbronn$<1>$KRES$<3>
8034614,Singen (Htw) Industriegebiet$<1>
8038379,Überlingen$<1>
8039347,Konstanz Wollmatingen$<1>$KOWO$<3>
8057019,Meersburg(Bodensee)$<1>
8060978,Weil am Rhein Gartenstadt$<1>$WEGA$<3>
8060979,Weil am Rhein Pfädlistrasse$<1>$WEPF$<3>
8063365,Singen (Htw)-Landesgartenschau$<1>
8064136,"Mainau, Haupteingang (Bus)$<1>"
8069220,Lörrach Dammstrasse$<1>$LODA$<3>
8069221,Lörrach Museum/Burghof$<1>$LOSL$<3>
8069685,München Hbf Gl. 5-10$<1>
8072110,Friedrichshafen Hafen (Schiff)$<1>
8079281,"Trasadingen, Abzw. Bahnhof$<1>"
8080251,Konstanz-Fürstenberg$<1>$KFUE$<3>
8083840,Schopfheim-West$<1>
8083846,Lörrach Schwarzwaldstrasse$<1>$LOSW$<3>
8087021,Riehen Niederholz$<1>$RIEN$<3>
8098597,München Hbf Nord$<1>
8098610,München ZOB (Hackerbrücke)$<1>$MHAC$<3>
8099972,Singen (Htw) Landesgartenschau$<1>$RSIS$<3>
8099992,Mainau (Bodensee)$<1>
8099998,Überlingen Hafen$<1>
8101001,Wien Westbahnhof$<1>$Vienna$<4>$Vienne (A)$<4>$WIW$<3>
8101003,Wien Hbf$<1>$WIEN$<3>
8101212,Landeck-Zams$<1>$LAD$<3>
8101236,Feldkirch$<1>$FK$<3>
8101237,Forst (FL) Hilti$<1>$FOHI$<3>
8101241,Schaanwald$<1>$SNW$<3>
8101242,Nendeln$<1>$NEND$<3>
8101243,Schaan-Vaduz$<1>$SCAA$<3>
8101841,Nauders Bergkastelbahn$<1>
8101860,Prutz Postamt$<1>
8101876,Pfunds Kajetansbrücke$<1>
8101877,Nauders Hochfinstermünz$<1>
8101878,Nauders Unterdorf$<1>
8101879,Nauders Dorf$<1>
8101880,Nauders Mühle$<1>
8102322,Rankweil$<1>$RNKW$<3>
8102327,Hohenems$<1>$HOHE$<3>
8102329,Dornbirn$<1>$DORN$<3>
8102337,Dornbirn Schoren$<1>$DOST$<3>
8102338,Bregenz Hafen$<1>$BRHA$<3>
8102845,Wien Hbf (Bahnsteige 1-2)$<1>
8102847,Wien Südtiroler Platz$<1>
8102851,Wien Hbf (Autoreisezuganlage)$<1>
8111864,Ried i Oberinntal Gemeindeamt$<1>
8130066,Wien Hbf (U1)$<1>
8130074,Wien Westbahnhof (U3)$<1>
8130077,Wien Westbahnhof (Neubaugeb.)$<1>
8130079,Wien Hbf (Tram Tiefgeschoss)$<1>
8131246,Landeck-Zams Busbahnhof$<1>
8172031,Wien Westbahnhof (Gerstnerstr)$<1>
8172032,Wien Westbahnhof (U6)$<1>
8184004,"Wien Westbahnhof, Felberstr.$<1>"
8300001,Villadossola$<1>$VIDO$<3>
8300003,Piedimulera$<1>$PIDI$<3>
8300006,Ornavasso$<1>$ORNA$<3>
8300007,Gravellona Toce$<1>
8300137,Aosta$<1>$AO$<3>
8301003,Domodossola (I)$<1>$Domo$<4>$DOFS$<3>
8301016,Stresa$<1>$STRA$<3>
8301020,Arona$<1>$ARO$<3>
8301037,Rho$<1>$RHO$<3>
8301039,Rho Fiera Milano$<1>$Rho Fiera Milano$<4>$RFMI$<3>
8301113,Luino (I)$<1>$LIFS$<3>
8301139,Malpensa Aeroporto/Airport$<1>$Milano Airport$<4>$Milano Flughafen$<4>
8301200,Porto Ceresio$<1>$PCER$<3>
8301205,Varese$<1>$VARE$<3>
8301307,Como S. Giovanni$<1>$COSG$<3>
8301310,Albate-Camerlata$<1>$ALCA$<3>
8301312,Cucciago$<1>$CUCC$<3>
8301313,Cantù-Cermenate$<1>$CACE$<3>
8301315,Carimate$<1>$CARI$<3>
8301316,Camnago-Lentate$<1>$CALE$<3>
8301318,Seregno$<1>$SER$<3>
8301320,Desio$<1>$DESI$<3>
8301321,Lissone-Muggiò$<1>$LIMU$<3>
